_id,user_id,session_id,event_type,data.key,data.press_time,data.release_time,data.hold_time,data.flight_time,key,timestamp,hold_time,user
6a5fd6105409b7b2c137b328,,,keydown,,,,,,ArrowLeft,1784665611652.0,,
6a5fd6105409b7b2c137b329,,,keydown,,,,,,ArrowLeft,1784665611684.0,,
6a5fd6105409b7b2c137b32a,,,keydown,,,,,,ArrowLeft,1784665611718.0,,
6a5fd6105409b7b2c137b32b,,,keydown,,,,,,ArrowLeft,1784665611751.0,,
6a5fd6105409b7b2c137b32c,,,keydown,,,,,,ArrowLeft,1784665611783.0,,
6a5fd6105409b7b2c137b32d,,,keydown,,,,,,ArrowLeft,1784665611814.0,,
6a5fd6105409b7b2c137b32e,,,keydown,,,,,,ArrowLeft,1784665611847.0,,
6a5fd6105409b7b2c137b32f,,,keydown,,,,,,ArrowLeft,1784665611880.0,,
6a5fd6105409b7b2c137b330,,,keydown,,,,,,ArrowLeft,1784665611912.0,,
6a5fd6105409b7b2c137b331,,,keydown,,,,,,ArrowLeft,1784665611945.0,,
6a5fd6105409b7b2c137b332,,,keydown,,,,,,ArrowLeft,1784665611977.0,,
6a5fd6105409b7b2c137b333,,,keydown,,,,,,ArrowLeft,1784665612010.0,,
6a5fd6105409b7b2c137b334,,,keydown,,,,,,ArrowLeft,1784665612042.0,,
6a5fd6105409b7b2c137b335,,,keydown,,,,,,ArrowLeft,1784665612074.0,,
6a5fd6105409b7b2c137b336,,,keydown,,,,,,ArrowLeft,1784665612107.0,,
6a5fd6105409b7b2c137b337,,,keydown,,,,,,ArrowLeft,1784665612136.0,,
6a5fd6105409b7b2c137b338,,,keydown,,,,,,ArrowLeft,1784665612333.0,,
6a5fd6105409b7b2c137b339,,,keydown,,,,,,ArrowLeft,1784665612489.0,,
6a5fd6105409b7b2c137b33a,,,keydown,,,,,,ArrowLeft,1784665612648.0,,
6a5fd6105409b7b2c137b33b,,,keydown,,,,,,ArrowDown,1784665613480.0,,
6a5fd6105409b7b2c137b33c,,,keydown,,,,,,Enter,1784665615095.0,,
6a5fd6105409b7b2c137b33d,,,keydown,,,,,,Enter,1784665615731.0,,
6a5fd6105409b7b2c137b33e,,,keydown,,,,,,Enter,1784665616069.0,,
6a5fd6105409b7b2c137b33f,,,keydown,,,,,,Enter,1784665616353.0,,
6a5fd6105409b7b2c137b340,,,keydown,,,,,,Enter,1784665616627.0,,
6a5fd6105409b7b2c137b341,,,shortcut,,,,,,Ctrl+C,1784665613184.0,142.0,
6a5fd6105409b7b2c137b342,,,shortcut,,,,,,Ctrl+V,1784665615466.0,65.0,
6a5fd6105409b7b2c137b343,,,shortcut,,,,,,Ctrl+V,1784665615937.0,82.0,
6a5fd6105409b7b2c137b344,,,shortcut,,,,,,Ctrl+V,1784665616270.0,74.0,
6a5fd6105409b7b2c137b345,,,shortcut,,,,,,Ctrl+V,1784665616564.0,97.0,
6a5fd61a5409b7b2c137b346,,,keydown,,,,,,Enter,1784665616917.0,,
6a5fd61a5409b7b2c137b347,,,keydown,,,,,,Enter,1784665617259.0,,
6a5fd61a5409b7b2c137b348,,,keydown,,,,,,Enter,1784665617546.0,,
6a5fd61a5409b7b2c137b349,,,keydown,,,,,,Enter,1784665618128.0,,
6a5fd61a5409b7b2c137b34a,,,keydown,,,,,,Enter,1784665618778.0,,
6a5fd61b5409b7b2c137b462,,,shortcut,,,,,,Ctrl+V,1784665616862.0,108.0,
6a5fd61b5409b7b2c137b463,,,shortcut,,,,,,Ctrl+V,1784665617154.0,84.0,
6a5fd61b5409b7b2c137b464,,,shortcut,,,,,,Ctrl+V,1784665617478.0,78.0,
6a5fd61b5409b7b2c137b465,,,shortcut,,,,,,Ctrl+V,1784665617785.0,98.0,
6a5fd61b5409b7b2c137b466,,,shortcut,,,,,,Ctrl+V,1784665618346.0,98.0,
6a5fd61b5409b7b2c137b467,,,shortcut,,,,,,Ctrl+V,1784665618626.0,78.0,
6a5fd61b5409b7b2c137b468,,,shortcut,,,,,,Ctrl+V,1784665618923.0,66.0,
6a5fd6885409b7b2c137b639,,,keydown,,,,,,Meta,1784665727363.0,,
6a5fd6885409b7b2c137b63a,,,keydown,,,,,,Shift,1784665727463.0,,
6a5fd6925409b7b2c137b64d,,,keydown,,,,,,a,1784665740757.0,,
6a5fd6925409b7b2c137b64e,,,keydown,,,,,,s,1784665740870.0,,
6a5fd6925409b7b2c137b64f,,,keydown,,,,,,d,1784665741081.0,,
6a5fd6925409b7b2c137b650,,,keydown,,,,,,f,1784665741570.0,,
6a5fd6925409b7b2c137b651,,,keydown,,,,,,f,1784665741773.0,,
6a5fd6925409b7b2c137b652,,,keydown,,,,,,d,1784665741881.0,,
6a5fd6925409b7b2c137b653,,,keydown,,,,,,s,1784665741976.0,,
6a5fd6925409b7b2c137b654,,,keydown,,,,,,a,1784665742210.0,,
6a5fd71d7096f0a31879b285,,,keydown,,,,,,Meta,1784665878533.0,,
6a5fd71d7096f0a31879b286,,,keydown,,,,,,Shift,1784665878618.0,,
6a5fd74f7096f0a31879b417,,,keydown,,,,,,Meta,1784665930951.0,,
6a5fd74f7096f0a31879b418,,,keydown,,,,,,Shift,1784665931065.0,,
6a5fd7d17096f0a31879b50b,,,keydown,,,,,,a,1784666062481.0,,
6a5fd7d17096f0a31879b50c,,,keydown,,,,,,s,1784666062593.0,,
6a5fd7d17096f0a31879b50d,,,keydown,,,,,,d,1784666062669.0,,
6a5fd7d17096f0a31879b50e,,,keydown,,,,,,f,1784666063144.0,,
6a5fd7d17096f0a31879b50f,,,keydown,,,,,,f,1784666063413.0,,
6a5fd7d17096f0a31879b510,,,keydown,,,,,,d,1784666063510.0,,
6a5fd7d17096f0a31879b511,,,keydown,,,,,,s,1784666063630.0,,
6a5fd7d17096f0a31879b512,,,keydown,,,,,,a,1784666063870.0,,
6a5fdc14a5303295dabd932b,,,keydown,,,,,,a,1784667149885.0,,
6a5fdc14a5303295dabd932c,,,keydown,,,,,,s,1784667149988.0,,
6a5fdc14a5303295dabd932d,,,keydown,,,,,,d,1784667150098.0,,
